Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
Georgia,,,,,,
6/25/2025,,,,,,
Lawson Minshew,,,,,,
P,SO,,,,,
Illinois State,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/25/2025,,,,,,
Cider Canon,,,,,,
RF,SO,,,,,
Davidson,,,,,,
2025,,,,,,
Duke,,,,,,
6/25/2025,,,,,,
Freddy Rodriguez,,,,,,
3B,JR,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
Memphis,,,,,,
6/25/2025,,,,,,
Gunnar Bingham,,,,,,
OF,JR,,,,,
Murray State,,,,,,
2025,,,,,,
Eastern Kentucky,,,,,,
6/25/2025,,,,,,
Hudson Ellis,,,,,,
IF,FR,,,,,
Dallas Baptist,,,,,,
2025,,,,,,
Oral Roberts,,,,,,
6/25/2025,,,,,,
Ben Dean,,,,,,
P,FR,,,,,
Dayton,,,,,,
2025,,,,,,
Duke,,,,,,
6/25/2025,,,,,,
Sam Miller,,,,,,
SS,JR,,,,,
Columbia,,,,,,
2025,,,,,,
Florida,,,,,,
6/25/2025,,,,,,
J.J. Gatti,,,,,,
P,JR,,,,,
Dayton,,,,,,
2025,,,,,,
Old Dominion,,,,,,
6/25/2025,,,,,,
Rex Watson,,,,,,
RF,FR,,,,,
San Diego,,,,,,
2025,,,,,,
Coastal Carolina,,,,,,
6/25/2025,,,,,,
Gregory Caban,,,,,,
C,FR,,,,,
Eastern Kentucky,,,,,,
2025,,,,,,
Florida Southwestern State,,,,,,
6/25/2025,,,,,,
Haiden Leffew,,,,,,
P,SO,,,,,
Wake Forest,,,,,,
2025,,,,,,
Texas,,,,,,
6/25/2025,,,,,,
Matthew Johnson,,,,,,
P,SR,,,,,
Dayton,,,,,,
2025,--,6/25/2025,,,,
Freddie Oliver,,,,,,
IF,JR,,,,,
North Carolina A&T,,,,,,
2025,--,6/25/2025,,,,
Cooper Torres,,,,,,
2B,SR,,,,,
East Tennessee State,,,,,,
2025,--,6/25/2025,,,,
Daniel Ortiz,,,,,,
P,FR,,,,,
Alabama State,,,,,,
2025,--,6/25/2025,,,,
Micah Kendrick,,,,,,
IF,SO,,,,,
TCU,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/25/2025,,,,,,
Chase Stryker,,,,,,
P,SO,,,,,
Coastal Carolina,,,,,,
2025,--,6/25/2025,,,,
Ryan DeMartin,,,,,,
P,SO,,,,,
Georgetown,,,,,,
2025,--,6/25/2025,,,,
Angel Cortez,,,,,,
1B,SO,,,,,
Cal State Northridge,,,,,,
2025,,,,,,
CSU Dominguez Hills,,,,,,
6/24/2025,,,,,,
Tristan Moore,,,,,,
LF,SR,,,,,
New Orleans,,,,,,
2025,,,,,,
Point Loma,,,,,,
6/24/2025,,,,,,
Mike Contiliano,,,,,,
UT,FR,,,,,
Seton Hall,,,,,,
2025,,,,,,
TCNJ,,,,,,
6/24/2025,,,,,,
Mike Sweeney,,,,,,
SS,SO,,,,,
Hofstra,,,,,,
2025,,,,,,
Molloy University,,,,,,
6/24/2025,,,,,,
Rex Henderson,,,,,,
P,JR,,,,,
UTRGV,,,,,,
2025,,,,,,
New Orleans,,,,,,
6/24/2025,,,,,,
Austin Henry,,,,,,
P,SO,,,,,
Missouri,,,,,,
2025,,,,,,
South Dakota State,,,,,,
6/24/2025,,,,,,
Frankie Ferrentino,,,,,,
C,JR,,,,,
Merrimack,,,,,,
2025,,,,,,
Central Connecticut,,,,,,
6/24/2025,,,,,,
John Maldonado Jr.,,,,,,
SS,JR,,,,,
UTSA,,,,,,
2025,,,,,,
UT Tyler,,,,,,
6/24/2025,,,,,,
Brayden Schoetzow,,,,,,
P,SO,,,,,
Wright State,,,,,,
2025,,,,,,
Indiana State,,,,,,
6/24/2025,,,,,,
Zach Murphy,,,,,,
P,SO,,,,,
Mercer,,,,,,
2025,,,,,,
UAH,,,,,,
6/24/2025,,,,,,
Nate Brittain,,,,,,
P,SO,,,,,
Wake Forest,,,,,,
2025,,,,,,
Duke,,,,,,
6/24/2025,,,,,,
Danny Heintz,,,,,,
P,SR,,,,,
Alabama,,,,,,
2025,,,,,,
NC State,,,,,,
6/24/2025,,,,,,
Bennett LaPalm,,,,,,
P,SO,,,,,
Dayton,,,,,,
2025,,,,,,
Duke,,,,,,
6/24/2025,,,,,,
Fenix DiGiacomo,,,,,,
P,SR,,,,,
Marshall,,,,,,
2025,,,,,,
VCU,,,,,,
6/24/2025,,,,,,
Darrius Brown,,,,,,
RF,SO,,,,,
Arkansas-Pine Bluff,,,,,,
2025,,,,,,
UMES,,,,,,
6/24/2025,,,,,,
Brayden Dowd,,,,,,
CF,SO,,,,,
USC,,,,,,
2025,,,,,,
Florida State,,,,,,
6/24/2025,,,,,,
TJ Coats,,,,,,
P,SO,,,,,
Nebraska,,,,,,
2025,,,,,,
Miami,,,,,,
6/24/2025,,,,,,
Dane Morrow,,,,,,
IF,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
Michigan,,,,,,
6/24/2025,,,,,,
Gian De Castro,,,,,,
IF,FR,,,,,
Arizona State,,,,,,
2025,,,,,,
Long Beach State,,,,,,
6/24/2025,,,,,,
Oliver Ellison,,,,,,
P,SO,,,,,
Coastal Carolina,,,,,,
2025,,,,,,
Gardner-Webb,,,,,,
6/24/2025,,,,,,
Ty Barnett,,,,,,
P,FR,,,,,
Cincinnati,,,,,,
2025,,,,,,
Tennessee Tech,,,,,,
6/24/2025,,,,,,
Keaton Fisher,,,,,,
1B,JR,,,,,
Northern Colorado,,,,,,
2025,,,,,,
Southwestern Oklahoma State,,,,,,
6/24/2025,,,,,,
Brooks Wright,,,,,,
C,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
Appalachian State,,,,,,
6/24/2025,,,,,,
Drew Bourgeois,,,,,,
OF,FR,,,,,
Louisiana Tech,,,,,,
2025,,,,,,
UT Tyler,,,,,,
6/24/2025,,,,,,
Logan de Groot,,,,,,
DH,FR,,,,,
UCLA,,,,,,
2025,,,,,,
Northwestern,,,,,,
6/24/2025,,,,,,
Landon Victorian,,,,,,
P,FR,,,,,
Oklahoma,,,,,,
2025,,,,,,
Louisiana,,,,,,
6/24/2025,,,,,,
Tyce Peterson,,,,,,
DH,JR,,,,,
Oregon State,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/24/2025,,,,,,
Drew Wyers,,,,,,
3B,JR,,,,,
Bryant,,,,,,
2025,,,,,,
Mississippi State,,,,,,
6/24/2025,,,,,,
Cole Chamberlain,,,,,,
C,FR,,,,,
Texas,,,,,,
2025,,,,,,
Coastal Carolina,,,,,,
6/24/2025,,,,,,
Adin Zorn,,,,,,
LF,SO,,,,,
Dayton,,,,,,
2025,,,,,,
Duke,,,,,,
6/24/2025,,,,,,
Michael DiMartini,,,,,,
CF,SO,,,,,
Dayton,,,,,,
2025,,,,,,
Duke,,,,,,
6/24/2025,,,,,,
Ty Mainolfi,,,,,,
2B,FR,,,,,
Dayton,,,,,,
2025,,,,,,
Boston College,,,,,,
6/24/2025,,,,,,
Ben Weber,,,,,,
P,JR,,,,,
Xavier,,,,,,
2025,,,,,,
Virginia Tech,,,,,,
6/24/2025,,,,,,
Brett Borcherding,,,,,,
P,SR,,,,,
Stony Brook,,,,,,
2025,--,6/24/2025,,,,
Eric Elliot,,,,,,
P,JR,,,,,
Jackson State,,,,,,
2025,--,6/24/2025,,,,
Ben Martin,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,--,6/24/2025,,,,
Carlos Morejo-Rosario,,,,,,
C,FR,,,,,
Central Connecticut,,,,,,
2025,--,6/24/2025,,,,
Maurice Edwards,,,,,,
2B,JR,,,,,
Arkansas-Pine Bluff,,,,,,
2025,--,6/24/2025,,,,
Devin Brooks,,,,,,
P,JR,,,,,
Alabama State,,,,,,
2025,,,,,,
Southern Wesleyan,,,,,,
6/23/2025,,,,,,
Reno Spagnoli,,,,,,
UT,FR,,,,,
Seton Hall,,,,,,
2025,,,,,,
Hofstra,,,,,,
6/23/2025,,,,,,
Ty Tomlinson,,,,,,
1B,FR,,,,,
George Mason,,,,,,
2025,,,,,,
Western Michigan,,,,,,
6/23/2025,,,,,,
Andrew DuMont,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
Saint Louis,,,,,,
6/23/2025,,,,,,
Stratton Scott,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
East Tennessee State,,,,,,
6/23/2025,,,,,,
Max Bernal,,,,,,
1B,SO,,,,,
Pepperdine,,,,,,
2025,,,,,,
Fresno Pacific,,,,,,
6/23/2025,,,,,,
Brad Grindlinger,,,,,,
P,FR,,,,,
Charleston Southern,,,,,,
2025,,,,,,
Long Beach State,,,,,,
6/23/2025,,,,,,
Dane Bjorn,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
Missouri,,,,,,
6/23/2025,,,,,,
Martin Serrano,,,,,,
C,FR,,,,,
Oregon State,,,,,,
2025,,,,,,
Iowa Western,,,,,,
6/23/2025,,,,,,
Khaleel Pratt,,,,,,
P-OF,FR,,,,,
Kentucky,,,,,,
2025,,,,,,
Eastern Kentucky,,,,,,
6/23/2025,,,,,,
Jace Miller,,,,,,
LF,SO,,,,,
Portland,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/23/2025,,,,,,
Gabe Wright,,,,,,
CF,JR,,,,,
Quinnipiac,,,,,,
2025,,,,,,
Hawaii,,,,,,
6/23/2025,,,,,,
Callum Early,,,,,,
2B,FR,,,,,
Liberty,,,,,,
2025,,,,,,
Texas,,,,,,
6/23/2025,,,,,,
Jeremiah Newman,,,,,,
P,JR,,,,,
Southern,,,,,,
2025,,,,,,
Akron,,,,,,
6/23/2025,,,,,,
Tanner Wiggins,,,,,,
P,SO,,,,,
Tennessee,,,,,,
2025,,,,,,
Rice,,,,,,
6/23/2025,,,,,,
Lance Davis,,,,,,
P,FR,,,,,
Arkansas,,,,,,
2025,,,,,,
TCU,,,,,,
6/23/2025,,,,,,
Will Gasparino,,,,,,
CF,SO,,,,,
Texas,,,,,,
2025,,,,,,
UCLA,,,,,,
6/23/2025,,,,,,
Jackson Sobel,,,,,,
P,SO,,,,,
Georgia Tech,,,,,,
2025,,,,,,
Missouri,,,,,,
6/23/2025,,,,,,
Luke Payne,,,,,,
P,SO,,,,,
Tennessee,,,,,,
2025,,,,,,
East Carolina,,,,,,
6/23/2025,,,,,,
Tate Greene,,,,,,
IF,FR,,,,,
Central Arkansas,,,,,,
2025,,,,,,
Angelo State,,,,,,
6/23/2025,,,,,,
Santi Garcia,,,,,,
P,SO,,,,,
Oregon,,,,,,
2025,,,,,,
LSU,,,,,,
6/23/2025,,,,,,
Michael Sharman,,,,,,
P,JR,,,,,
Tennessee,,,,,,
2025,,,,,,
Clemson,,,,,,
6/23/2025,,,,,,
Joe Cilea,,,,,,
C,JR,,,,,
Sacred Heart,,,,,,
2025,,,,,,
Indiana,,,,,,
6/23/2025,,,,,,
Carter Johnstone,,,,,,
3B,FR,,,,,
Cal State Fullerton,,,,,,
2025,,,,,,
Vanderbilt,,,,,,
6/23/2025,,,,,,
Timmy O'Brien,,,,,,
1B,SO,,,,,
Bradley,,,,,,
2025,--,6/23/2025,,,,
Cole Koonce,,,,,,
P,SR,,,,,
Southern Illinois,,,,,,
2025,--,6/23/2025,,,,
Nolan Decker,,,,,,
P,FR,,,,,
Troy,,,,,,
2025,--,6/23/2025,,,,
Zach Winter,,,,,,
P,FR,,,,,
Fairleigh Dickinson,,,,,,
2025,--,6/23/2025,,,,
Zach Cavanagh,,,,,,
IF,FR,,,,,
Wright State,,,,,,
2025,--,6/23/2025,,,,
Cameron King,,,,,,
P,FR,,,,,
Florida A&M,,,,,,
2025,--,6/23/2025,,,,
John Moya,,,,,,
P,FR,,,,,
Texas Southern,,,,,,
2025,--,6/23/2025,,,,
Andrew Pilcher,,,,,,
P,SO,,,,,
Little Rock,,,,,,
2025,--,6/23/2025,,,,
Andrew Wilford,,,,,,
OF,JR,,,,,
Bellarmine,,,,,,
2025,--,6/23/2025,,,,
Brandon Newland,,,,,,
P,FR,,,,,
Michigan,,,,,,
2025,,,,,,
Bellarmine,,,,,,
6/22/2025,,,,,,
David Stokely,,,,,,
C,SR,,,,,
Murray State,,,,,,
2025,,,,,,
Mount St. Mary's,,,,,,
6/22/2025,,,,,,
Brayden Baker,,,,,,
UT,FR,,,,,
Murray State,,,,,,
2025,,,,,,
Volunteer State,,,,,,
6/22/2025,,,,,,
Evan Haeger,,,,,,
RF,FR,,,,,
Houston,,,,,,
2025,,,,,,
Michigan,,,,,,
6/22/2025,,,,,,
Nick Miller,,,,,,
OF,JR,,,,,
Incarnate Word,,,,,,
2025,,,,,,
Eastern New Mexico,,,,,,
6/22/2025,,,,,,
Chase Clatur,,,,,,
P,FR,,,,,
Murray State,,,,,,
2025,,,,,,
Bowling Green,,,,,,
6/22/2025,,,,,,
Tyler Dobbs,,,,,,
P,SO,,,,,
Wichita State,,,,,,
2025,,,,,,
UTSA,,,,,,
6/22/2025,,,,,,
Carson McEntire,,,,,,
CF,FR,,,,,
Oregon State,,,,,,
2025,,,,,,
Arizona,,,,,,
6/22/2025,,,,,,
Tyler Boudreau,,,,,,
P,JR,,,,,
Texas Tech,,,,,,
2025,,,,,,
Alabama,,,,,,
6/22/2025,,,,,,
Peyton Smith,,,,,,
P,JR,,,,,
Texas A&M,,,,,,
2025,,,,,,
Virginia Tech,,,,,,
6/22/2025,,,,,,
David Mendez,,,,,,
LF,SO,,,,,
Vanderbilt,,,,,,
2025,,,,,,
Maryland,,,,,,
6/22/2025,,,,,,
Alex Overbay,,,,,,
P,SO,,,,,
UNLV,,,,,,
2025,,,,,,
Arizona State,,,,,,
6/22/2025,,,,,,
Brandon Bishop,,,,,,
CF,JR,,,,,
Houston,,,,,,
2025,,,,,,
UTSA,,,,,,
6/21/2025,,,,,,
Hayden O'Dell,,,,,,
P,JR,,,,,
New Orleans,,,,,,
2025,,,,,,
South Alabama,,,,,,
6/21/2025,,,,,,
Drew Culbertson,,,,,,
SS,SO,,,,,
Oklahoma State,,,,,,
2025,,,,,,
Michigan,,,,,,
6/21/2025,,,,,,
Tagger Tyson,,,,,,
C,SO,,,,,
Louisville,,,,,,
2025,,,,,,
Kentucky,,,,,,
6/21/2025,,,,,,
Michael Lippe,,,,,,
RF,JR,,,,,
Louisville,,,,,,
2025,,,,,,
Minnesota,,,,,,
6/21/2025,,,,,,
Lucas Rodriguez,,,,,,
P,FR,,,,,
New Orleans,,,,,,
2025,,,,,,
Palm Beach State,,,,,,
6/21/2025,,,,,,
Gabe Fraser,,,,,,
2B,FR,,,,,
Arkansas,,,,,,
2025,,,,,,
Florida State,,,,,,
6/21/2025,,,,,,
Elliott Peterson,,,,,,
C,JR,,,,,
Arkansas,,,,,,
2025,,,,,,
Nebraska,,,,,,
6/21/2025,,,,,,
Sammy Petrocelli,,,,,,
P,FR,,,,,
Stanford,,,,,,
2025,,,,,,
Duke,,,,,,
6/21/2025,,,,,,
Cohen Feser,,,,,,
P,JR,,,,,
TCU,,,,,,
2025,,,,,,
Kansas State,,,,,,
6/21/2025,,,,,,
Dominic Decker,,,,,,
2B,SO,,,,,
Murray State,,,,,,
2025,,,,,,
Ole Miss,,,,,,
6/21/2025,,,,,,
Dawson Santana,,,,,,
2B,SO,,,,,
Oregon State,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/21/2025,,,,,,
Michael Anderson,,,,,,
1B,JR,,,,,
Arkansas,,,,,,
2025,,,,,,
Penn State,,,,,,
6/21/2025,,,,,,
Zane Becker,,,,,,
C,FR,,,,,
Arkansas,,,,,,
2025,,,,,,
Texas A&M,,,,,,
6/21/2025,,,,,,
Bayram Hot,,,,,,
2B,JR,,,,,
Louisville,,,,,,
2025,--,6/21/2025,,,,
Adrian Areizaga,,,,,,
SS,FR,,,,,
Miami,,,,,,
2025,--,6/21/2025,,,,
Michael Walsh,,,,,,
P,JR,,,,,
VCU,,,,,,
2025,,,,,,
Mount Olive,,,,,,
6/20/2025,,,,,,
Juan Correa,,,,,,
1B,SR,,,,,
Appalachian State,,,,,,
2025,,,,,,
USF,,,,,,
6/20/2025,,,,,,
Vincent Samuel,,,,,,
3B,JR,,,,,
FGCU,,,,,,
2025,,,,,,
Manhattan,,,,,,
6/20/2025,,,,,,
Brevin Scott,,,,,,
P,FR,,,,,
Murray State,,,,,,
2025,,,,,,
St. Petersburg,,,,,,
6/20/2025,,,,,,
Camden Wimbish,,,,,,
P,SO,,,,,
NC State,,,,,,
2025,,,,,,
Campbell,,,,,,
6/20/2025,,,,,,
Kale Hopke,,,,,,
P,SO,,,,,
Dakota County Tech,,,,,,
2024,,,,,,
Charleston Southern,,,,,,
6/20/2025,,,,,,
Stetson Callaway,,,,,,
P,SO,,,,,
Abilene Christian,,,,,,
2025,,,,,,
FGCU,,,,,,
6/20/2025,,,,,,
James DeCremer,,,,,,
P,FR,,,,,
Oregon State,,,,,,
2025,,,,,,
Arkansas,,,,,,
6/20/2025,,,,,,
Moose Cuellar,,,,,,
P,FR,,,,,
UCLA,,,,,,
2025,,,,,,
Fresno State,,,,,,
6/20/2025,,,,,,
Bryce Johnson,,,,,,
P,FR,,,,,
Oregon State,,,,,,
2025,,,,,,
Washington,,,,,,
6/20/2025,,,,,,
Laif Palmer,,,,,,
P,SO,,,,,
Oregon State,,,,,,
2025,,,,,,
Cal Poly,,,,,,
6/20/2025,,,,,,
Trey Callaway,,,,,,
C,FR,,,,,
Missouri,,,,,,
2025,,,,,,
Alabama State,,,,,,
6/20/2025,,,,,,
Maika Niu,,,,,,
SS,JR,,,,,
Marshall,,,,,,
2025,,,,,,
Arkansas,,,,,,
6/20/2025,,,,,,
Isaac Huettl,,,,,,
C,SO,,,,,
Murray State,,,,,,
2025,,,,,,
Missouri Western,,,,,,
6/20/2025,,,,,,
Samuel Camacho,,,,,,
IF,FR,,,,,
North Florida,,,,,,
2025,,,,,,
Clarion,,,,,,
6/20/2025,,,,,,
Mac Rose,,,,,,
DH,SO,,,,,
Vanderbilt,,,,,,
2025,,,,,,
Dallas Baptist,,,,,,
6/20/2025,,,,,,
Nick Anello,,,,,,
P,JR,,,,,
Jacksonville,,,,,,
2025,,,,,,
Arizona State,,,,,,
6/20/2025,,,,,,
Cooper Wesslund,,,,,,
2B,JR,,,,,
Omaha,,,,,,
2025,,,,,,
Pittsburg State,,,,,,
6/20/2025,,,,,,
Luc Fladda,,,,,,
P,SR,,,,,
Tulane,,,,,,
2025,,,,,,
Arizona,,,,,,
6/20/2025,,,,,,
Nate Earley,,,,,,
DH,JR,,,,,
Louisville,,,,,,
2025,,,,,,
USF,,,,,,
6/20/2025,,,,,,
Nate Earley,,,,,,
DH,JR,,,,,
Louisville,,,,,,
2025,,,,,,
USF,,,,,,
6/20/2025,,,,,,
Jayden Asencio,,,,,,
C,JR,,,,,
Coppin State,,,,,,
2025,--,6/20/2025,,,,
Christian Soto,,,,,,
C,JR,,,,,
Alabama A&M,,,,,,
2025,--,6/20/2025,,,,
Zach Schwartzberg,,,,,,
IF,JR,,,,,
USC,,,,,,
2025,--,6/20/2025,,,,
Garrett Sims,,,,,,
P,JR,,,,,
Middle Tennessee,,,,,,
2025,--,6/20/2025,,,,
Aidan DeLeon,,,,,,
P,FR,,,,,
Houston Christian,,,,,,
2025,--,6/20/2025,,,,
Vincent Gamberdella,,,,,,
C,JR,,,,,
UNLV,,,,,,
2025,,,,,,
San Jose State,,,,,,
6/19/2025,,,,,,
Sawyer Toney,,,,,,
P,SR,,,,,
New Orleans,,,,,,
2025,,,,,,
North Alabama,,,,,,
6/19/2025,,,,,,
Jayson Jones,,,,,,
3B,JR,,,,,
Oklahoma State,,,,,,
2025,,,,,,
Wichita State,,,,,,
6/19/2025,,,,,,
Bobby Marsh,,,,,,
DH,GR,,,,,
Miami,,,,,,
2025,,,,,,
Duke,,,,,,
6/19/2025,,,,,,
Elijah Rodriguez,,,,,,
LF,JR,,,,,
UNLV,,,,,,
2025,--,6/19/2025,,,,
Justin Morris,,,,,,
P,SO,,,,,
UMass,,,,,,
2025,--,6/19/2025,,,,
Angel Lopez,,,,,,
P,JR,,,,,
Bethune-Cookman,,,,,,
2025,--,6/19/2025,,,,
Sebastian Berrios,,,,,,
RF,FR,,,,,
Florida International,,,,,,
2025,--,6/19/2025,,,,
Brodie Shaw,,,,,,
P,FR,,,,,
Morehead State,,,,,,
2025,--,6/19/2025,,,,
Tripp Capers,,,,,,
CF,FR,,,,,
George Mason,,,,,,
2025,,,,,,
Jefferson,,,,,,
6/18/2025,,,,,,
Trey Barkman,,,,,,
P,SO,,,,,
Ohio,,,,,,
2025,,,,,,
Northwestern Oklahoma State,,,,,,
6/18/2025,,,,,,
Nyle Banks,,,,,,
P,SR,,,,,
Southern,,,,,,
2025,,,,,,
Nova Southeastern,,,,,,
6/18/2025,,,,,,
Rand Green,,,,,,
P,FR,,,,,
Oral Roberts,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/18/2025,,,,,,
Owen Poole,,,,,,
P,SO,,,,,
Bowling Green,,,,,,
2025,,,,,,
Xavier,,,,,,
6/18/2025,,,,,,
Adam Hachman,,,,,,
P,FR,,,,,
Kentucky,,,,,,
2025,,,,,,
Lindenwood,,,,,,
6/18/2025,,,,,,
Colton Jones,,,,,,
P,SO,,,,,
FGCU,,,,,,
2025,,,,,,
University of Montevallo,,,,,,
6/18/2025,,,,,,
Harper McLendon,,,,,,
P,JR,,,,,
Murray State,,,,,,
2025,,,,,,
Warner,,,,,,
6/18/2025,,,,,,
Boaz Harper,,,,,,
2B,FR,,,,,
North Carolina,,,,,,
2025,,,,,,
North Carolina A&T,,,,,,
6/18/2025,,,,,,
Bryce Koch,,,,,,
P,FR,,,,,
Cincinnati,,,,,,
2025,,,,,,
Louisville,,,,,,
6/18/2025,,,,,,
Benjamin Hudson,,,,,,
P,FR,,,,,
West Virginia,,,,,,
2025,,,,,,
Penn State,,,,,,
6/18/2025,,,,,,
Eli Gries-Smith,,,,,,
CF,FR,,,,,
Arkansas-Pine Bluff,,,,,,
2025,,,,,,
Oregon State,,,,,,
6/18/2025,,,,,,
Damian Ruiz,,,,,,
DH,SO,,,,,
Lamar,,,,,,
2025,,,,,,
Arkansas,,,,,,
6/18/2025,,,,,,
Dan Rollins,,,,,,
C,SO,,,,,
Murray State,,,,,,
2025,,,,,,
Southeastern (IA),,,,,,
6/18/2025,,,,,,
Andrew Behnke,,,,,,
P,JR,,,,,
Tennessee,,,,,,
2025,,,,,,
Georgia,,,,,,
6/18/2025,,,,,,
JT Thompson,,,,,,
2B,JR,,,,,
Rutgers,,,,,,
2025,,,,,,
Abilene Christian,,,,,,
6/18/2025,,,,,,
Alex Sosa,,,,,,
C,SO,,,,,
NC State,,,,,,
2025,,,,,,
Miami,,,,,,
6/18/2025,,,,,,
Blaine Brown,,,,,,
DH,FR,,,,,
Rice,,,,,,
2025,,,,,,
Tennessee,,,,,,
6/18/2025,,,,,,
Dominic Smaldino,,,,,,
1B,SO,,,,,
California,,,,,,
2025,,,,,,
Arizona State,,,,,,
6/18/2025,,,,,,
William Kirk,,,,,,
P,FR,,,,,
Virginia,,,,,,
2025,,,,,,
Mississippi State,,,,,,
6/18/2025,,,,,,
KeShawn Lee,,,,,,
2B,FR,,,,,
Alcorn State,,,,,,
2025,--,6/18/2025,,,,
Joseph Damelio,,,,,,
RF,FR,,,,,
Pepperdine,,,,,,
2025,--,6/18/2025,,,,
Cash Russell,,,,,,
IF,JR,,,,,
Lamar,,,,,,
2025,--,6/18/2025,,,,
Victor Christal,,,,,,
P,FR,,,,,
Missouri,,,,,,
2025,--,6/18/2025,,,,
Rylan Hill,,,,,,
P,FR,,,,,
Texas A&M,,,,,,
2025,--,6/18/2025,,,,
Beau Revord,,,,,,
P-OF,FR,,,,,
Tennessee,,,,,,
2025,--,6/18/2025,,,,
Alex Robinson,,,,,,
OF,FR,,,,,
Western Carolina,,,,,,
2025,--,6/18/2025,,,,
James Novakovic,,,,,,
IF,FR,,,,,
Purdue,,,,,,
2025,--,6/18/2025,,,,
Parker Lewin,,,,,,
P-OF,SO,,,,,
Minnesota,,,,,,
2025,,,,,,
St. Cloud State,,,,,,
6/17/2025,,,,,,
Flynn Howard,,,,,,
P,SO,,,,,
Merrimack,,,,,,
2025,,,,,,
Saint Leo,,,,,,
6/17/2025,,,,,,
Alex Jankowski,,,,,,
P,JR,,,,,
Stony Brook,,,,,,
2025,,,,,,
Long Island,,,,,,
6/17/2025,,,,,,
Stephen Sepulveda,,,,,,
P,SO,,,,,
Texas Tech,,,,,,
2025,,,,,,
UTRGV,,,,,,
6/17/2025,,,,,,
Will Gnibus,,,,,,
P,SR,,,,,
Campbell,,,,,,
2025,,,,,,
CSU East Bay,,,,,,
6/17/2025,,,,,,
Lucas Hartman,,,,,,
P,SR,,,,,
Western Kentucky,,,,,,
2025,,,,,,
Virginia,,,,,,
6/17/2025,,,,,,
Jake Barbour,,,,,,
2B,SO,,,,,
Queens (NC),,,,,,
2025,,,,,,
UNC Greensboro,,,,,,
6/17/2025,,,,,,
Jayce Tharnish,,,,,,
CF,SO,,,,,
St. Bonaventure,,,,,,
2025,,,,,,
Kentucky,,,,,,
6/17/2025,,,,,,
Brady Picarelli,,,,,,
RF,FR,,,,,
Missouri,,,,,,
2025,,,,,,
South Alabama,,,,,,
6/17/2025,,,,,,
Jake Tedesco,,,,,,
P,JR,,,,,
Washington State,,,,,,
2025,,,,,,
Miami (OH),,,,,,
6/17/2025,,,,,,
Colin Huspen,,,,,,
P,JR,,,,,
Abilene Christian,,,,,,
2025,,,,,,
Incarnate Word,,,,,,
6/17/2025,,,,,,
Cole Yearsley,,,,,,
LF,JR,,,,,
Winthrop,,,,,,
2025,,,,,,
Minnesota State,,,,,,
6/17/2025,,,,,,
Sam Frizzi,,,,,,
P,JR,,,,,
Southern Illinois,,,,,,
2025,,,,,,
Western Kentucky,,,,,,
6/17/2025,,,,,,
Beau Bryans,,,,,,
P,JR,,,,,
Alabama,,,,,,
2025,,,,,,
Jacksonville State,,,,,,
6/17/2025,,,,,,
Rohan Lettow,,,,,,
P,SO,,,,,
Arizona State,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/17/2025,,,,,,
Trey Telfer,,,,,,
P,FR,,,,,
Indiana,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/17/2025,,,,,,
Marco Mueses,,,,,,
LF,SO,,,,,
New Orleans,,,,,,
2025,,,,,,
Texas Southern,,,,,,
6/17/2025,,,,,,
JJ Bush,,,,,,
DH,JR,,,,,
Texas A&M-Corpus Christi,,,,,,
2025,,,,,,
Southeastern Oklahoma State,,,,,,
6/17/2025,,,,,,
Adam Magpoc,,,,,,
LF,SO,,,,,
Boston College,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/17/2025,,,,,,
Quinten Perilli,,,,,,
P-UT,JR,,,,,
Elizabethtown,,,,,,
2025,,,,,,
Rutgers,,,,,,
6/17/2025,,,,,,
Carson Johnson,,,,,,
P,FR,,,,,
Arizona,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/17/2025,,,,,,
Bryce McKnight,,,,,,
P,SO,,,,,
Arizona,,,,,,
2025,,,,,,
San Diego State,,,,,,
6/17/2025,,,,,,
Jack Griffiths,,,,,,
P,FR,,,,,
Butler,,,,,,
2025,,,,,,
Central Michigan,,,,,,
6/17/2025,,,,,,
Ryler Smart,,,,,,
P,FR,,,,,
Tennessee,,,,,,
2025,,,,,,
LSU,,,,,,
6/17/2025,,,,,,
Cade O'Leary,,,,,,
P,FR,,,,,
Mississippi State,,,,,,
2025,,,,,,
Florida State,,,,,,
6/17/2025,,,,,,
Michael Smosna,,,,,,
C,JR,,,,,
